id,rolle,opdateringsdato
1,1. næstformand,2015-05-29T14:49:17.54
2,udvalgsassistent,2015-04-22T12:53:24.92
3,Tidligere minister,2014-08-06T14:43:17.187
4,udvalgssekretær2,2014-08-06T14:43:17.187
5,3. næstformand,2014-08-06T14:43:17.187
6,orlov med vederlag,2015-02-10T14:45:59.597
7,folketingets formand,2014-08-06T14:43:17.187
8,Minister,2015-07-06T13:36:24.093
9,2. næstformand,2014-08-06T14:43:17.187
10,stedfortræder,2015-08-13T10:24:26.357
11,4. næstformand,2014-08-06T14:43:17.187
12,orlov uden vederlag,2014-10-16T21:09:23.957
13,udvalgssekretær,2015-04-23T15:53:56.433
14,næstformand,2015-07-07T11:42:46.047
15,medlem,2015-06-03T13:28:02.543
16,formand,2015-04-24T14:39:50.027
17,delegationssekretær,2014-09-11T15:43:08.39
18,Observatør,2014-08-06T14:43:17.187
19,udvalgsassistent2,2014-10-08T14:32:23.837
20,Ministertitel,2014-09-11T18:18:25.843
21,delegationsassistent,2014-09-11T17:04:59.773
22,"minister, ej MF",2014-10-07T14:13:15.187
23,nævnsassistent,2015-06-02T14:03:15.693
24,nævnssekretær,2014-10-08T14:04:02.757
